Date,Name,Year,Letterboxd URI
2020-01-13,The Ordeal,2004,https://letterboxd.com/film/the-ordeal/
2020-01-13,Survive Style 5+,2004,https://letterboxd.com/film/survive-style-5/
2020-01-27,Minari,2020,https://letterboxd.com/film/minari/
2020-01-27,Possessor,2020,https://letterboxd.com/film/possessor/
2020-01-30,Black Bear,2020,https://letterboxd.com/film/black-bear/
2020-02-06,The Adventures of Ichabod and Mr. Toad,1949,https://letterboxd.com/film/the-adventures-of-ichabod-and-mr-toad/
2020-02-13,10/65: Self-Mutilation,1965,https://letterboxd.com/film/10-65-self-mutilation/
2020-02-18,Dead Pigs,2018,https://letterboxd.com/film/dead-pigs/
2020-02-19,The Closet,2020,https://letterboxd.com/film/the-closet-2020-1/
2020-02-19,Enter the Fat Dragon,2020,https://letterboxd.com/film/enter-the-fat-dragon-2020/
2020-02-19,Nowhere to Hide,1999,https://letterboxd.com/film/nowhere-to-hide/
2020-02-19,Medium Cool,1969,https://letterboxd.com/film/medium-cool/
2020-02-19,The Devil's Backbone,2001,https://letterboxd.com/film/the-devils-backbone/
2020-02-19,Picnic at Hanging Rock,1975,https://letterboxd.com/film/picnic-at-hanging-rock/
2020-02-19,Black Orpheus,1959,https://letterboxd.com/film/black-orpheus/
2020-02-19,Throne of Blood,1957,https://letterboxd.com/film/throne-of-blood/
2020-02-19,Tokyo Story,1953,https://letterboxd.com/film/tokyo-story/
2020-02-19,Io Island,1977,https://letterboxd.com/film/io-island/
2020-02-19,Intentions of Murder,1964,https://letterboxd.com/film/intentions-of-murder/
2020-02-19,The Jazz Singer,1927,https://letterboxd.com/film/the-jazz-singer/
2020-02-28,The Killing of a Chinese Bookie,1976,https://letterboxd.com/film/the-killing-of-a-chinese-bookie/
2020-02-28,A Woman Under the Influence,1974,https://letterboxd.com/film/a-woman-under-the-influence/
2020-03-01,Disappearance at Clifton Hill,2019,https://letterboxd.com/film/disappearance-at-clifton-hill/
2020-03-01,Closet Monster,2015,https://letterboxd.com/film/closet-monster/
2020-03-04,Hostiles,2017,https://letterboxd.com/film/hostiles-2017/
2020-03-10,Open Your Eyes,1997,https://letterboxd.com/film/open-your-eyes/
2020-03-10,The English Patient,1996,https://letterboxd.com/film/the-english-patient/
2020-03-10,Titus,1999,https://letterboxd.com/film/titus/
2020-03-17,Road to Roma,2020,https://letterboxd.com/film/road-to-roma/
2020-03-17,Promising Young Woman,2020,https://letterboxd.com/film/promising-young-woman/
2020-03-24,Motherless Brooklyn,2019,https://letterboxd.com/film/motherless-brooklyn/
2020-03-25,100 Poems for Stella,2017,https://letterboxd.com/film/100-poems-for-stella/
2020-03-25,Vivarium,2019,https://letterboxd.com/film/vivarium/
2020-03-27,The Great Outdoors,1988,https://letterboxd.com/film/the-great-outdoors/
2020-03-28,Joe Versus the Volcano,1990,https://letterboxd.com/film/joe-versus-the-volcano/
2020-03-30,3022,2019,https://letterboxd.com/film/3022/
2020-03-30,All Hallows' Eve,2013,https://letterboxd.com/film/all-hallows-eve/
2020-03-30,All Hallows' Eve 2,2015,https://letterboxd.com/film/all-hallows-eve-2/
